"exp_index","subject","block","accuracy","probability_10","observer","outcome","evaluation"
"exp1",47,"actor",0.4,12,NA,NA,NA
"exp1",47,"actor",0.5,12,NA,NA,NA
"exp1",47,"actor",0.6,11,NA,NA,NA
"exp1",47,"actor",0.7,13,NA,NA,NA
"exp1",47,"actor",0.8,0,NA,NA,NA
"exp1",47,"actor",0.9,51,NA,NA,NA
"exp1",47,"actor",1,50,NA,NA,NA
"exp1",48,"actor",0,16,NA,NA,NA
"exp1",48,"actor",0.1,81,NA,NA,NA
"exp1",48,"actor",0.2,76,NA,NA,NA
"exp1",48,"actor",0.3,81,NA,NA,NA
"exp1",48,"actor",0.4,78,NA,NA,NA
"exp1",48,"actor",0.5,73,NA,NA,NA
"exp1",48,"actor",0.6,86,NA,NA,NA
"exp1",48,"actor",0.7,20,NA,NA,NA
"exp1",48,"actor",0.8,22,NA,NA,NA
"exp1",48,"actor",0.9,0,NA,NA,NA
"exp1",48,"actor",1,0,NA,NA,NA
"exp1",49,"actor",0,100,NA,NA,NA
"exp1",49,"actor",0.1,100,NA,NA,NA
"exp1",49,"actor",0.2,100,NA,NA,NA
"exp1",49,"actor",0.3,100,NA,NA,NA
"exp1",49,"actor",0.4,0,NA,NA,NA
"exp1",49,"actor",0.5,0,NA,NA,NA
"exp1",49,"actor",0.6,0,NA,NA,NA
"exp1",49,"actor",0.7,0,NA,NA,NA
"exp1",49,"actor",0.8,97,NA,NA,NA
"exp1",49,"actor",0.9,100,NA,NA,NA
"exp1",49,"actor",1,100,NA,NA,NA
